universe_id,provider,source_id,member_code,member_name,valid_from,valid_to,as_of_date,weight,rank,member_type
index:CSI300,tushare,000300.SH,600919.SH,,20260506,,20260506,0.6203,40,equity
index:CSI300,tushare,000300.SH,600926.SH,,20260506,,20260506,0.3276,88,equity
index:CSI300,tushare,000300.SH,600930.SH,,20260506,,20260506,0.0688,272,equity
index:CSI300,tushare,000300.SH,600938.SH,,20260506,,20260506,0.3439,80,equity
index:CSI300,tushare,000300.SH,600941.SH,,20260506,,20260506,0.3281,87,equity
index:CSI300,tushare,000300.SH,600958.SH,,20260506,,20260506,0.1834,151,equity
index:CSI300,tushare,000300.SH,600989.SH,,20260506,,20260506,0.2492,111,equity
index:CSI300,tushare,000300.SH,600999.SH,,20260506,,20260506,0.2228,127,equity
index:CSI300,tushare,000300.SH,601006.SH,,20260506,,20260506,0.2392,117,equity
index:CSI300,tushare,000300.SH,601009.SH,,20260506,,20260506,0.2665,105,equity
index:CSI300,tushare,000300.SH,601012.SH,,20260506,,20260506,0.3768,70,equity
index:CSI300,tushare,000300.SH,601018.SH,,20260506,,20260506,0.0544,287,equity
index:CSI300,tushare,000300.SH,601021.SH,,20260506,,20260506,0.0867,247,equity
index:CSI300,tushare,000300.SH,601058.SH,,20260506,,20260506,0.1361,196,equity
index:CSI300,tushare,000300.SH,601059.SH,,20260506,,20260506,0.0623,279,equity
index:CSI300,tushare,000300.SH,601066.SH,,20260506,,20260506,0.1138,217,equity
index:CSI300,tushare,000300.SH,601077.SH,,20260506,,20260506,0.1447,185,equity
index:CSI300,tushare,000300.SH,601088.SH,,20260506,,20260506,0.6401,36,equity
index:CSI300,tushare,000300.SH,601100.SH,,20260506,,20260506,0.2116,132,equity
index:CSI300,tushare,000300.SH,601111.SH,,20260506,,20260506,0.0963,240,equity
index:CSI300,tushare,000300.SH,601117.SH,,20260506,,20260506,0.1175,214,equity
index:CSI300,tushare,000300.SH,601127.SH,,20260506,,20260506,0.2701,104,equity
index:CSI300,tushare,000300.SH,601136.SH,,20260506,,20260506,0.0346,295,equity
index:CSI300,tushare,000300.SH,601138.SH,,20260506,,20260506,0.9409,18,equity
index:CSI300,tushare,000300.SH,601166.SH,,20260506,,20260506,1.1311,13,equity
index:CSI300,tushare,000300.SH,601169.SH,,20260506,,20260506,0.2935,98,equity
index:CSI300,tushare,000300.SH,601186.SH,,20260506,,20260506,0.1161,216,equity
index:CSI300,tushare,000300.SH,601211.SH,,20260506,,20260506,0.6904,31,equity
index:CSI300,tushare,000300.SH,601225.SH,,20260506,,20260506,0.3772,69,equity
index:CSI300,tushare,000300.SH,601229.SH,,20260506,,20260506,0.3474,77,equity
index:CSI300,tushare,000300.SH,601236.SH,,20260506,,20260506,0.0401,294,equity
index:CSI300,tushare,000300.SH,601238.SH,,20260506,,20260506,0.0585,282,equity
index:CSI300,tushare,000300.SH,601288.SH,,20260506,,20260506,0.7402,28,equity
index:CSI300,tushare,000300.SH,601298.SH,,20260506,,20260506,0.0235,298,equity
index:CSI300,tushare,000300.SH,601318.SH,,20260506,,20260506,2.3764,4,equity
index:CSI300,tushare,000300.SH,601319.SH,,20260506,,20260506,0.0858,248,equity
index:CSI300,tushare,000300.SH,601328.SH,,20260506,,20260506,0.6742,32,equity
index:CSI300,tushare,000300.SH,601336.SH,,20260506,,20260506,0.2026,136,equity
index:CSI300,tushare,000300.SH,601360.SH,,20260506,,20260506,0.1505,182,equity
index:CSI300,tushare,000300.SH,601377.SH,,20260506,,20260506,0.1601,173,equity
index:CSI300,tushare,000300.SH,601390.SH,,20260506,,20260506,0.195,143,equity
index:CSI300,tushare,000300.SH,601398.SH,,20260506,,20260506,0.8943,22,equity
index:CSI300,tushare,000300.SH,601456.SH,,20260506,,20260506,0.0571,283,equity
index:CSI300,tushare,000300.SH,601600.SH,,20260506,,20260506,0.3614,72,equity
index:CSI300,tushare,000300.SH,601601.SH,,20260506,,20260506,0.4769,53,equity
index:CSI300,tushare,000300.SH,601607.SH,,20260506,,20260506,0.0719,266,equity
index:CSI300,tushare,000300.SH,601618.SH,,20260506,,20260506,0.0791,254,equity
index:CSI300,tushare,000300.SH,601628.SH,,20260506,,20260506,0.2294,123,equity
index:CSI300,tushare,000300.SH,601633.SH,,20260506,,20260506,0.0933,241,equity
index:CSI300,tushare,000300.SH,601658.SH,,20260506,,20260506,0.2095,133,equity
index:CSI300,tushare,000300.SH,601668.SH,,20260506,,20260506,0.3817,68,equity
index:CSI300,tushare,000300.SH,601669.SH,,20260506,,20260506,0.1821,154,equity
index:CSI300,tushare,000300.SH,601688.SH,,20260506,,20260506,0.4244,60,equity
index:CSI300,tushare,000300.SH,601689.SH,,20260506,,20260506,0.2024,137,equity
index:CSI300,tushare,000300.SH,601698.SH,,20260506,,20260506,0.12,211,equity
index:CSI300,tushare,000300.SH,601728.SH,,20260506,,20260506,0.3469,78,equity
index:CSI300,tushare,000300.SH,601766.SH,,20260506,,20260506,0.2713,103,equity
index:CSI300,tushare,000300.SH,601788.SH,,20260506,,20260506,0.1125,219,equity
index:CSI300,tushare,000300.SH,601800.SH,,20260506,,20260506,0.0928,242,equity
index:CSI300,tushare,000300.SH,601808.SH,,20260506,,20260506,0.033,296,equity
index:CSI300,tushare,000300.SH,601816.SH,,20260506,,20260506,0.5369,44,equity
index:CSI300,tushare,000300.SH,601818.SH,,20260506,,20260506,0.2168,130,equity
index:CSI300,tushare,000300.SH,601825.SH,,20260506,,20260506,0.1902,146,equity
index:CSI300,tushare,000300.SH,601838.SH,,20260506,,20260506,0.1832,152,equity
index:CSI300,tushare,000300.SH,601857.SH,,20260506,,20260506,0.5061,48,equity
index:CSI300,tushare,000300.SH,601868.SH,,20260506,,20260506,0.1492,184,equity
index:CSI300,tushare,000300.SH,601872.SH,,20260506,,20260506,0.2261,126,equity
index:CSI300,tushare,000300.SH,601877.SH,,20260506,,20260506,0.1337,200,equity
index:CSI300,tushare,000300.SH,601878.SH,,20260506,,20260506,0.1018,235,equity
index:CSI300,tushare,000300.SH,601881.SH,,20260506,,20260506,0.1057,231,equity
index:CSI300,tushare,000300.SH,601888.SH,,20260506,,20260506,0.2311,122,equity
index:CSI300,tushare,000300.SH,601898.SH,,20260506,,20260506,0.1275,204,equity
index:CSI300,tushare,000300.SH,601899.SH,,20260506,,20260506,2.1161,5,equity
index:CSI300,tushare,000300.SH,601901.SH,,20260506,,20260506,0.1122,220,equity
index:CSI300,tushare,000300.SH,601916.SH,,20260506,,20260506,0.1688,164,equity
index:CSI300,tushare,000300.SH,601919.SH,,20260506,,20260506,0.3348,84,equity
index:CSI300,tushare,000300.SH,601939.SH,,20260506,,20260506,0.3118,92,equity
index:CSI300,tushare,000300.SH,601985.SH,,20260506,,20260506,0.2756,101,equity
index:CSI300,tushare,000300.SH,601988.SH,,20260506,,20260506,0.307,93,equity
index:CSI300,tushare,000300.SH,601995.SH,,20260506,,20260506,0.1522,180,equity
index:CSI300,tushare,000300.SH,601998.SH,,20260506,,20260506,0.1658,167,equity
index:CSI300,tushare,000300.SH,603019.SH,,20260506,,20260506,0.5484,43,equity
index:CSI300,tushare,000300.SH,603195.SH,,20260506,,20260506,0.0443,293,equity
